,index,dates,shiftFactor,population,storage_asis,observedInflow,observedInflow_fitted,storage,storage_fitted,outflow,outflow_fitted,waterSupply,waterSupply_fitted,elevation,elevation_fitted,stage1,stage2,stage3
198,199,7,1,5.90665,37.8713262470449,37219.292512721004,40009.6947917794,68.9435603766707,72.2340366580798,27973.7594655733,33419.1929057358,7023.561329307379,7678.81265018998,-1.286649000327,-1.2496570476348001,True,True,False
199,200,8,1,5.92028,-0.8154980425192879,38208.3942179614,40009.6947917794,73.3877599328697,72.2340366580798,28977.5631445075,33419.1929057358,7158.212535688521,7678.81265018998,-1.12055338287813,-1.2496570476348001,True,True,True
200,201,9,1,5.934080000000001,79.8972616572245,39197.4959232019,40009.6947917794,77.8319594890688,72.2340366580798,29981.3668234418,33419.1929057358,7292.86374206965,7678.81265018998,-0.9544577654292572,-1.2496570476348001,False,False,False
201,202,10,1,5.94753,46.852096477392905,40058.000391112,40009.6947917794,79.5728369122271,72.2340366580798,31344.4436599232,33419.1929057358,7594.83423038697,7678.81265018998,-0.895050090708958,-1.2496570476348001,False,False,False
202,203,11,1,5.96057,44.704846206657,40918.5048590221,40009.6947917794,81.3137143353855,72.2340366580798,32707.5204964046,33419.1929057358,7896.804718704279,7678.81265018998,-0.8356424159886591,-1.2496570476348001,False,False,False
203,204,12,1,5.9740400000000005,43.7141914987285,41263.4899846362,40009.6947917794,79.47286098414008,72.2340366580798,33533.6600722048,33419.1929057358,8156.795136809879,7678.81265018998,-0.927948858066549,-1.2496570476348001,False,False,False
204,205,1,1,5.98782,226.335987903311,41608.4751102503,40009.6947917794,77.63200763289471,72.2340366580798,34359.799648004904,33419.1929057358,8416.78555491548,7678.81265018998,-1.0202553001444399,-1.2496570476348001,False,False,False
205,206,2,1,6.001519999999999,172.13581426401902,41721.3882637544,40009.6947917794,74.8392419245372,72.2340366580798,34379.024260545695,33419.1929057358,8531.95103714082,7678.81265018998,-1.15570503082009,-1.2496570476348001,False,False,False
206,207,3,1,6.01494,74.5620573301108,41834.3014172585,40009.6947917794,72.0464762161798,72.2340366580798,34398.2488730865,33419.1929057358,8647.11651936616,7678.81265018998,-1.29115476149574,-1.2496570476348001,False,False,False
207,208,4,1,6.0287,117.307506480476,41110.5353657765,40009.6947917794,69.6924932186121,72.2340366580798,33485.376254717405,33419.1929057358,8717.61187699417,7678.81265018998,-1.38702971815442,-1.2496570476348001,False,False,False
208,209,5,1,6.041980000000001,62.7479525333455,40386.7693142945,40009.6947917794,67.33851022104429,72.2340366580798,32572.5036363483,33419.1929057358,8788.107234622192,7678.81265018998,-1.4829046748131,-1.2496570476348001,True,False,False
209,210,6,1,6.0561,32.6618630856612,40402.5351316936,40009.6947917794,67.3321150215711,72.2340366580798,31898.006018719,33419.1929057358,8807.48963192493,7678.81265018998,-1.4731360426313898,-1.2496570476348001,True,True,False
210,211,7,1,6.06909,-5.76137628708326,40418.3009490927,40009.6947917794,67.3257198220978,72.2340366580798,31223.5084010897,33419.1929057358,8826.87202922768,7678.81265018998,-1.46336741044967,-1.2496570476348001,True,True,True
211,212,8,1,6.08305,-32.1693642731695,40814.3329116375,40009.6947917794,69.3406493449876,72.2340366580798,31425.5548470263,33419.1929057358,8713.669331980871,7678.81265018998,-1.38921015824811,-1.2496570476348001,True,True,True
212,213,9,1,6.09633,62.9000447523209,41210.3648741824,40009.6947917794,71.3555788678775,72.2340366580798,31627.601292962998,33419.1929057358,8600.466634734059,7678.81265018998,-1.31505290604655,-1.2496570476348001,False,False,False
213,214,10,1,6.10963,33.572139062156,40957.7505896371,40009.6947917794,72.8391298236512,72.2340366580798,31855.1929037535,33419.1929057358,8415.210549582769,7678.81265018998,-1.27069109404056,-1.2496570476348001,True,False,False
214,215,11,1,6.12296,44.8845299478035,40705.1363050919,40009.6947917794,74.3226807794249,72.2340366580798,32082.784514543902,33419.1929057358,8229.95446443147,7678.81265018998,-1.2263292820345801,-1.2496570476348001,False,False,False
215,216,12,1,6.13667,45.62772322066979,39797.0743975342,40009.6947917794,72.9268384141754,72.2340366580798,31944.7215476858,33419.1929057358,8116.391992451759,7678.81265018998,-1.2983821974474998,-1.2496570476348001,False,False,False
216,217,1,1,6.14965,180.18052696765,38889.0124899765,40009.6947917794,71.5309960489259,72.2340366580798,31806.6585808277,33419.1929057358,8002.82952047205,7678.81265018998,-1.37043511286043,-1.2496570476348001,False,False,False
217,218,2,1,6.16257,267.44771982246203,38130.9526666492,40009.6947917794,67.4285760903532,72.2340366580798,31666.1478570494,33419.1929057358,7996.14951165682,7678.81265018998,-1.57497790799849,-1.2496570476348001,False,False,False
218,219,3,1,6.17595,131.286809795418,37372.8928433219,40009.6947917794,63.3261561317805,72.2340366580798,31525.6371332712,33419.1929057358,7989.4695028416,7678.81265018998,-1.77952070313655,-1.2496570476348001,False,False,False
219,220,4,1,6.1894599999999995,44.6077762032495,35757.092028959305,40009.6947917794,56.883977126542206,72.2340366580798,30420.5482864888,33419.1929057358,7966.47086749615,7678.81265018998,-2.07452864261725,-1.2496570476348001,True,True,False
220,221,5,1,6.20275,27.5468855142378,34141.2912145967,40009.6947917794,50.441798121303904,72.2340366580798,29315.459439706403,33419.1929057358,7943.4722321507,7678.81265018998,-2.3695365820979397,-1.2496570476348001,True,True,True
221,222,6,1,6.21584,17.979177547682603,31193.3947502712,27947.8873387197,43.2854102987856,19.0468928915937,26378.3625961797,19625.1054133035,7954.235664010391,7678.81265018998,-2.65063541520624,-3.75614891202727,True,True,True
222,223,7,1,6.22841,-12.8170637614547,28245.498285945698,27947.8873387197,36.129022476267295,19.0468928915937,23441.265752653,19625.1054133035,7964.999095870079,7678.81265018998,-2.9317342483145397,-3.7561489120272595,True,True,True
223,224,8,1,6.241630000000001,-38.633245974942206,25976.6516942189,27947.8873387197,30.792359855086602,19.0468928915937,20590.486654553002,19625.1054133035,7981.57023038047,7678.81265018998,-3.1147695238465,-3.7561489120272595,True,True,True
224,225,9,1,6.2554,-63.8491475489065,23707.8051024921,27947.8873387197,25.455697233905802,19.0468928915937,17739.707556453,19625.1054133035,7998.141364890849,7678.81265018998,-3.29780479937846,-3.7561489120272595,True,True,True
225,226,10,1,6.26883,-11.4692235565188,23624.1153467889,27947.8873387197,24.3595278036444,19.0468928915937,16676.5148907431,19625.1054133035,7985.66415293303,7678.81265018998,-3.32370071759,-3.7561489120272595,True,True,True
226,227,11,1,6.2824,9.90554702199656,23540.4255910856,27947.8873387197,23.263358373383102,19.0468928915937,15613.3222250332,19625.1054133035,7973.18694097521,7678.81265018998,-3.3495966358015496,-3.7561489120272595,True,True,True
227,228,12,1,6.29625,-2.76740379779962,23512.9488026935,27947.8873387197,24.026799285815702,19.0468928915937,15443.3351575134,19625.1054133035,7902.142380181291,7678.81265018998,-3.30519210046473,-3.7561489120272595,True,True,True
228,229,1,1,6.30975,42.4033052134111,23485.472014301402,27947.8873387197,24.790240198248302,19.0468928915937,15273.3480899937,19625.1054133035,7831.097819387371,7678.81265018998,-3.2607875651279103,-3.7561489120272595,False,False,False
229,230,2,1,6.32345,176.511858357678,23645.1977921206,27947.8873387197,25.7480085830964,19.0468928915937,15511.906160703898,19625.1054133035,7722.6652924994405,7678.81265018998,-3.2099367393475,-3.7561489120272595,False,False,False
230,231,3,1,6.3371699999999995,98.56041033429692,23804.9235699398,27947.8873387197,26.705776967944498,19.0468928915937,15750.464231414198,19625.1054133035,7614.2327656115085,7678.81265018998,-3.15908591356708,-3.7561489120272595,False,False,False
231,232,4,1,6.3504,44.5296135911466,25729.597646277598,27947.8873387197,28.046381627206696,19.0468928915937,17587.4345806148,19625.1054133035,7586.662438203009,7678.81265018998,-3.1023926108424003,-3.7561489120272595,True,True,False
232,233,5,1,6.36336,30.7468972555622,27654.271722615296,27947.8873387197,29.386986286468897,19.0468928915937,19424.4049298154,19625.1054133035,7559.0921107945,7678.81265018998,-3.04569930811771,-3.7561489120272595,True,True,True
233,234,6,1,6.37633,4.291374567629919,29732.7124776615,27947.8873387197,30.004566175187,19.0468928915937,21784.9748880333,19625.1054133035,7605.72560136698,7678.81265018998,-3.0160034319097204,-3.7561489120272595,True,True,True
234,235,7,1,6.389469999999999,-4.60553700254244,31811.1532327077,27947.8873387197,30.622146063905102,19.0468928915937,24145.544846251098,19625.1054133035,7652.359091939449,7678.81265018998,-2.9863075557017202,-3.7561489120272595,True,True,True
235,236,8,1,6.40266,-21.7286519140762,31171.814783271602,27947.8873387197,28.266504571518002,19.0468928915937,24116.0564644764,19625.1054133035,7731.61935358048,7678.81265018998,-3.0612658045352696,-3.7561489120272595,True,True,True
236,237,9,1,6.41587,-27.0981472491634,30532.476333835497,27947.8873387197,25.9108630791309,19.0468928915937,24086.5680827017,19625.1054133035,7810.8796152215,7678.81265018998,-3.13622405336882,-3.7561489120272595,True,True,True
237,238,10,1,6.42893,-42.2667057460935,29213.5022202123,27947.8873387197,23.005274050247603,19.0468928915937,22501.3712010448,19625.1054133035,7966.85100387688,7678.81265018998,-3.2368369049176002,-3.7561489120272595,True,True,True
238,239,11,1,6.44265,48.007947714810804,27894.528106589103,27947.8873387197,20.0996850213643,19.0468928915937,20916.1743193879,19625.1054133035,8122.822392532271,7678.81265018998,-3.3374497564663796,-3.7561489120272595,False,False,False
239,240,12,1,6.4557,76.4171916121255,27244.4797240049,27947.8873387197,18.502319675261198,19.0468928915937,19896.4416051248,19625.1054133035,8234.41985942348,7678.81265018998,-3.40092904221726,-3.7561489120272595,False,False,False
240,241,1,1,6.46894,41.0394318041775,26594.4313414207,27947.8873387197,16.904954329158002,19.0468928915937,18876.7088908618,19625.1054133035,8346.017326314692,7678.81265018998,-3.4644083279681404,-3.7561489120272595,False,False,False
241,242,2,1,6.48261,47.114044479896094,25685.5528769159,27947.8873387197,15.300710737178099,19.0468928915937,18043.3671589746,19625.1054133035,8334.926288240558,7678.81265018998,-3.55093135358611,-3.7561489120272595,True,False,False
242,243,3,1,6.4972900000000005,43.882948858726394,24776.6744124112,27947.8873387197,13.696467145198099,19.0468928915937,17210.0254270874,19625.1054133035,8323.83525016643,7678.81265018998,-3.6374543792040894,-3.7561489120272595,True,True,False
243,244,4,1,6.51181,36.5572907610941,24495.3111802177,27947.8873387197,12.9370769388307,19.0468928915937,16700.9405424557,19625.1054133035,8239.91931188871,7678.81265018998,-3.6918187567671095,-3.7561489120272595,True,True,False
244,245,5,1,6.5259599999999995,13.890036966109099,24213.9479480242,27947.8873387197,12.1776867324634,19.0468928915937,16191.855657823899,19625.1054133035,8156.003373610991,7678.81265018998,-3.7461831343301295,-3.7561489120272595,True,True,True
245,246,6,1,6.5404,8.21713687488521,25968.7734823408,27947.8873387197,14.429803587291902,19.0468928915937,17132.3867836453,19625.1054133035,8110.67897008854,7678.81265018998,-3.67712272192628,-3.7561489120272595,True,True,True
246,247,7,1,6.5548,-19.090586137217397,27723.5990166574,27947.8873387197,16.6819204421204,19.0468928915937,18072.9179094666,19625.1054133035,8065.35456656609,7678.81265018998,-3.6080623095224302,-3.7561489120272595,True,True,True
247,248,8,1,6.56917,-34.3790091852971,32326.9541549733,27947.8873387197,24.3736028275903,19.0468928915937,21554.820338226,19625.1054133035,8040.064857490291,7678.81265018998,-3.32895563687764,-3.7561489120272595,True,True,True
248,249,9,1,6.583819999999999,-66.3391918800837,36930.309293289196,27947.8873387197,32.0652852130602,19.0468928915937,25036.7227669854,19625.1054133035,8014.77514841448,7678.81265018998,-3.04984896423285,-3.7561489120272595,True,True,True
249,250,10,1,6.59842,-12.470193418912102,40032.2575898179,27947.8873387197,40.0420730011793,19.0468928915937,28455.2783317214,19625.1054133035,7966.419525835079,7678.81265018998,-2.74492063207368,-3.7561489120272595,True,True,True
250,251,11,1,6.61287,44.583478564551704,43134.2058863466,27947.8873387197,48.0188607892984,19.0468928915937,31873.833896457403,19625.1054133035,7918.06390325568,7678.81265018998,-2.43999229991451,-3.7561489120272595,False,False,False
251,252,12,1,6.627260000000001,47.694673635715105,44064.0184771445,27947.8873387197,53.620408823087104,19.0468928915937,33414.7108864586,19625.1054133035,7859.7380681124705,7678.81265018998,-2.20102318222394,-3.7561489120272595,False,False,False
252,253,1,1,6.64195,42.1003056752727,44993.8310679424,27947.8873387197,59.2219568568758,19.0468928915937,34955.5878764597,19625.1054133035,7801.412232969251,7678.81265018998,-1.96205406453336,-3.7561489120272595,False,False,False
253,254,2,1,6.656560000000001,247.145492640652,44275.0342976457,27947.8873387197,61.92566340562939,19.0468928915937,34956.2133204629,19625.1054133035,7776.09111156381,7678.81265018998,-1.83272547368004,-3.7561489120272595,False,False,False
254,255,3,1,6.6713,212.94468842594398,43556.2375273489,27947.8873387197,64.629369954383,19.0468928915937,34956.8387644661,19625.1054133035,7750.76999015837,7678.81265018998,-1.70339688282671,-3.7561489120272595,False,False,False
255,256,4,1,6.6864,79.3373200110343,41506.9838062358,27947.8873387197,63.3331825519022,19.0468928915937,33893.128615124,19625.1054133035,7727.57332945572,7678.81265018998,-1.75686454080987,-3.7561489120272595,True,False,False
256,257,5,1,6.701460000000001,71.5451285767991,39457.7300851228,27947.8873387197,62.036995149421394,19.0468928915937,32829.4184657819,19625.1054133035,7704.376668753059,7678.81265018998,-1.81033219879303,-3.7561489120272595,True,False,False
257,258,6,1,6.71568,49.6573934701419,36959.6151195263,27947.8873387197,57.469560636418,19.0468928915937,30857.3494158239,19625.1054133035,7749.315316933441,7678.81265018998,-1.99444528687868,-3.7561489120272595,True,False,False
258,259,7,1,6.73008,22.6224547434968,34461.5001539298,27947.8873387197,52.902126123414604,19.0468928915937,28885.2803658659,19625.1054133035,7794.25396511382,7678.81265018998,-2.17855837496433,-3.7561489120272595,True,True,True
259,260,8,1,6.7448,-15.071714038581,32257.584355488598,27947.8873387197,47.3009887746935,19.0468928915937,26812.305617007998,19625.1054133035,7853.6234191208705,7678.81265018998,-2.37944476980261,-3.7561489120272595,True,True,True
260,261,9,1,6.759410000000001,-22.273448509472605,30053.6685570473,27947.8873387197,41.6998514259724,19.0468928915937,24739.330868150097,19625.1054133035,7912.99287312793,7678.81265018998,-2.58033116464089,-3.7561489120272595,True,True,True
261,262,10,1,6.7742,-30.7615360914957,29333.3267447939,27947.8873387197,37.8539775576521,19.0468928915937,23271.5513019643,19625.1054133035,7982.43579897847,7678.81265018998,-2.71648484548645,-3.7561489120272595,True,True,True
262,263,11,1,6.78903,-41.7352180086361,28612.9849325404,27947.8873387197,34.0081036893319,19.0468928915937,21803.771735778402,19625.1054133035,8051.87872482902,7678.81265018998,-2.85263852633201,-3.7561489120272595,True,True,True
263,264,12,1,6.80335,36.5944814176571,29148.5782987457,27947.8873387197,33.514045803674605,19.0468928915937,21625.7513474386,19625.1054133035,8162.59559209215,7678.81265018998,-2.8728932245982097,-3.7561489120272595,False,False,False
264,265,1,1,6.817819999999999,41.85426013607471,29684.1716649509,27947.8873387197,33.0199879180174,19.0468928915937,21447.730959098797,19625.1054133035,8273.31245935528,7678.81265018998,-2.89314792286441,-3.7561489120272595,False,False,False
265,266,2,1,6.832389999999999,195.853968993292,30092.3908031857,27947.8873387197,33.0493932755849,19.0468928915937,21726.4541515171,19625.1054133035,8393.256560567801,9076.396794944909,-2.90995136764233,-3.7561489120272595,False,False,False
266,267,3,1,6.847110000000001,67.3674770545613,30500.6099414204,27947.8873387197,33.0787986331525,19.0468928915937,22005.1773439353,19625.1054133035,8513.20066178032,9076.39679494487,-2.92675481242026,-3.7561489120272595,False,False,False
267,268,4,1,6.86145,42.9395991182208,31407.502423438902,27947.8873387197,33.3314279288587,19.0468928915937,22731.2103208134,19625.1054133035,8573.183577208149,9076.39679494487,-2.9410958400822502,-3.7561489120272595,True,True,False
268,269,5,1,6.87591,74.8082121972612,32314.3949054575,27947.8873387197,33.5840572245649,19.0468928915937,23457.2432976915,19625.1054133035,8633.166492635992,9076.39679494487,-2.95543686774424,-3.7561489120272595,True,False,False
269,270,6,1,6.89065,49.6879789112187,34702.1169468219,27947.8873387197,36.493214485288206,19.0468928915937,25087.0939222333,19625.1054133035,8644.931659724309,9076.39679494487,-2.8623669847146402,-3.7561489120272595,True,False,False
270,271,7,1,6.90534,13.794618913024301,37089.8389881864,27947.8873387197,39.402371746011504,19.0468928915937,26716.944546775,19625.1054133035,8656.69682681262,9076.39679494487,-2.76929710168503,-3.7561489120272595,True,True,True
271,272,8,1,6.920210000000001,-31.4028230940558,38873.4300395549,27947.8873387197,43.72264241280379,19.0468928915937,28405.411507907902,19625.1054133035,8695.19594746518,9076.39679494487,-2.62074260412165,-3.7561489120272595,True,True,True
272,273,9,1,6.9351,-58.6696999568486,40657.0210909234,27947.8873387197,48.0429130795961,19.0468928915937,30093.8784690408,19625.1054133035,8733.69506811775,9076.39679494487,-2.4721881065582703,-3.7561489120272595,True,True,True
273,274,10,1,6.9499,-69.05753336961989,40670.7007022529,27947.8873387197,50.1716133937662,19.0468928915937,30650.5911169342,19625.1054133035,8753.15692693977,9076.39679494487,-2.40021519156084,-3.7561489120272595,True,True,True
274,275,11,1,6.96471,43.165232390336,40684.3803135823,27947.8873387197,52.3003137079363,19.0468928915937,31207.3037648275,19625.1054133035,8772.618785761792,9076.39679494487,-2.3282422765634103,-3.7561489120272595,False,False,False
275,276,12,1,6.97987,39.7477350924812,40342.5896627491,27947.8873387197,53.333668274321006,19.0468928915937,31045.681109840098,19625.1054133035,8686.00786859695,9076.39679494487,-2.2760790683651297,-3.7561489120272595,False,False,False
276,277,1,1,6.994619999999999,188.636030492242,40000.7990119158,27947.8873387197,54.36702284070579,19.0468928915937,30884.0584548528,19625.1054133035,8599.39695143212,9076.39679494487,-2.22391586016684,-3.7561489120272595,False,False,False
277,278,2,1,7.00898,252.603428502521,39620.0587736229,27947.8873387197,56.1806015236219,19.0468928915937,30519.8368479625,19625.1054133035,8442.322748641569,9076.39679494487,-2.12007452890274,-3.7561489120272595,False,False,False
278,279,3,1,7.023960000000001,108.67354864178199,39239.318535330094,27947.8873387197,57.9941802065379,19.0468928915937,30155.615241072202,19625.1054133035,8285.24854585102,9076.39679494487,-2.01623319763865,-3.7561489120272595,False,False,False
